,name,Price
111,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 29.00
112,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 49.00
113,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 37.00
114,Lenovo LP40 Bluetooth 5.0 True Wireless Sport Headset -  White,GH₵ 65.00
115,P47 Wireless Foldable Bluetooth Headset -   Black,GH₵ 28.00
116,Wireless Bluetooth Earphone For iPhone Samsung Pods - White,GH₵ 36.00
117,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 53.76
118,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00
119,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 37.00
120,Oraimo FreePods3 True Wireless Stereo Earbuds - Black,GH₵ 168.96
121,116 Plus Waterproof Smart Watch - Black,GH₵ 34.00
122,Pro 6 Bluetooth Earphone - White,GH₵ 49.00
123,Wireless Bluetooth Headset 2000mAh - Black,GH₵ 60.00
124,TWS Air Pro 6 Bluetooth Earphone Earbuds HiFi Stereo Touch Sensor Control Mic For Android & IOS,GH₵ 57.60
125,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM,GH₵ 454.55
126,Wireless ​Speakers AUX USB Bluetooth System Home Theater,GH₵ 169.21
127,Wireless Bluetooth Earphones - White,GH₵ 39.00
128,New I5 Smartwatch - Pink,GH₵ 51.00
129,Infinix Smart HD X612 (2021) - 32GB HDD - 2GB RAM Smartphone -  Topaz Blue,GH₵ 604.00
130,116Plus Digital Smart Watch 116 Plus- Black,GH₵ 35.00
131,Wireless Bluetooth Earphone For iPhone Samsung Pods - Pink,GH₵ 37.00
132,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04
133,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 32.98
134,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00
135,Samsung Micro SD Memory Card - 64GB - Red/White,GH₵ 48.00
136,Smart Watch With Camera & SIM Card Slot - Black,GH₵ 71.00
137,F9 V5.1 Wireless Bluetooth Digital Display earphone -Black,GH₵ 65.00
138,M11 T-WS LCD Bluetooth 5.0 Wireless Headphones - Black,GH₵ 65.00
139,Lenovo XT92 Gaming Headset Low Latency Touch Bluetooth 5.1 Headset HiFi Stereo black,GH₵ 71.00
140,Smart Bluetooth watches for ios and Android bands,GH₵ 32.00
141,9H Nano Liquid Screen Protector for all Smartphones/tablets/Smart watches,GH₵ 9.14
142,Air Pro 6 Bluetooth Headset 5.0 Stereo Sport Music Earphones With Mic For IOS Android IPhone,GH₵ 49.00
143,Bluetooth 4.0 Headset Universal V9 Business Wireless,GH₵ 32.00
144,2Pcs Portable Speaker High-Volume Subwoofer USB-Black,GH₵ 32.00
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
