,Product Name,Price,Product Link
69,Wireless Waterproof HD HIFI In-Ear Earphones,GH₵ 32.00,/generic-wireless-waterproof-hd-hifi-in-ear-earphones-13545278.html
70,Lenovo TC02 Wireless Bluetooth Headset - Black,GH₵ 89.00,/lenovo-tc02-wireless-bluetooth-headset-black-18304989.html
71,Combination Waterproof Sports Smart Watch - Black,GH₵ 80.00,/generic-combination-waterproof-sports-smart-watch-black-21503990.html
72,Portable Power Bank - 10000mAh -Black + Samsung 64GB Pendrive Combo,GH₵ 115.00,/white-label-portable-power-bank-10000mah-black-samsung-64gb-pendrive-combo-22195073.html
73,Earphones Stereo With Charging Pods,GH₵ 30.00,/generic-earphones-stereo-with-charging-pods-16103473.html
74,Y30 Bluetooth 5.0 Earphones Wireless 4D Stereo Headphones Fingerprint Touch,GH₵ 39.00,/generic-y30-bluetooth-5.0-earphones-wireless-4d-stereo-headphones-fingerprint-touch-21123974.html
75,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 105.00,/105-4th-edition-dual-sim-cell-phone-black-nokia-mpg441344.html
76,"X Tigi T1 - Walkie Talkie Telephone Tri SIM - 2.4"" - 64MB - Black",GH₵ 159.00,/t1-2.4-tri-sim-talkie-walkie-telephone-64mb-2mpx-black-x-tigi-mpg16791.html
77,Itel It 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Grey,GH₵ 73.00,/itel-it-2173-dual-cell-phone-512mb-rom-512mb-ram-black-grey-16105906.html
78,Itel 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Blue + Free Battery & Earpiece,GH₵ 90.00,/2173-dual-cell-phone-512mb-rom-512mb-ram-black-blue-free-battery-earpiece-itel-mpg453632.html
79,Itel It 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Grey + Free MP3 Player,GH₵ 95.00,/it-2173-dual-cell-phone-512mb-rom-512mb-ram-black-grey-free-mp3-player-itel-mpg453634.html
80,Nokia 110 (2019 Edition) Dual SIM Feature Phone - Black,GH₵ 165.00,/110-2019-edition-dual-sim-feature-phone-black-nokia-mpg441613.html
81,Itel 2160 Dual Sim Plus FREE P47 Bluetooth Headset - 32MB ROM‎ - 4MB RAM  - Dark Blue,GH₵ 105.00,/2160-dual-sim-plus-free-p47-bluetooth-headset-32mb-rom-4mb-ram-dark-blue-itel-mpg453631.html
82,Nokia 105 Dual SIM 4th Edition  - 32MB ROM‎ - 4MB RAM - Black,GH₵ 130.00,/nokia-105-dual-sim-4th-edition-32mb-rom-4mb-ram-black-18654361.html
83,Itel 2173 Dual SIM Cell Phone - 512MB ROM - 512MB RAM - Grey + Free BT Speaker & Pendrive,GH₵ 140.00,/itel-2173-dual-sim-cell-phone-512mb-rom-512mb-ram-grey-free-bt-speaker-pendrive-18996610.html
84,Tecno T301 Dual SIM - 4MB ROM - 4MB RAM Feature Phone - Black / Gold,GH₵ 125.00,/t301-dual-sim-4mb-rom-4mb-ram-feature-phone-black-gold-tecno-mpg441493.html
85,Nokia 5310 XpressMusic -  2.1 Inch Blue,GH₵ 130.00,/nokia-5310-xpressmusic-2.1-inch-blue-7113586.html
86,Nokia 105 4th Edition  Dual Sim Phone - Black,GH₵ 138.00,/105-4th-edition-dual-sim-phone-black-nokia-mpg455220.html
